#SMILES,glaxo_unsuitable_leads,glaxo_unsuitable_natprod,glaxo_reactive,ursu_reactive,alarmnmr,lint_blake-v2,oprea_filters,MLSMR_excluded,MLSMR_allowed,toxic,pains,passes,fails,passrate,failrate
COC(=O)c1ccc(CC(C)NCC(O)c2ccc(F)c(Cl)c2)cc1,1,1,1,1,1,1,1,0,1,1,0,9,2,81.82,18.18
COC(=O)c1ccc(C[C@@H](C)NC[C@H](O)c2cccc(c2)C(F)(F)F)cc1,1,1,1,1,1,1,1,0,1,1,0,9,2,81.82,18.18
OC1(CCN(CCCCNC(=O)c2ccc(Br)cc2)CC1)c1ccc(Cl)cc1,1,1,1,1,0,0,1,0,1,1,1,8,3,72.73,27.27
COc1c2CCCCc2ccc1C1CCN(CCCCNC(=O)c2ccc(c(O)c2)-c2ccc(cc2)C#N)CC1,1,1,1,1,0,1,1,0,1,1,1,9,2,81.82,18.18
Nc1nc(N)c2cc(ccc2n1)S(=O)(=O)N1CCc2ccccc2C1,1,1,1,1,0,0,1,0,1,1,0,7,4,63.64,36.36
CCN(CC)CCN(C)S(=O)(=O)c1ccc2nc(N)nc(N)c2c1,1,1,1,1,0,0,1,0,1,0,0,6,5,54.55,45.45
Nc1nc(N)c2cc(ccc2n1)S(=O)(=O)Nc1ccc(Cl)c(Cl)c1,1,1,1,1,0,0,1,0,1,1,0,7,4,63.64,36.36
O\C=C\O.Cc1c(CNc2ccc(Cl)cc2)ccc2nc(N)nc(N)c12,1,1,1,1,0,0,0,1,1,0,1,7,4,63.64,36.36
O\C=C\O.Nc1nc(N)c2cc(CNc3ccc(Cl)c(c3)C(F)(F)F)ccc2n1,1,1,1,1,0,0,0,1,1,0,1,7,4,63.64,36.36
CCc1cccc(c1)-n1c2ccccc2nc2c1nc(=O)n(C)c2=O,1,1,1,1,0,0,1,0,1,1,1,8,3,72.73,27.27
CCc1ccccc1-n1c2ccccc2nc2c1nc(=O)n(C)c2=O,1,1,1,1,0,0,1,0,1,1,1,8,3,72.73,27.27
Cn1c(=O)nc2n(-c3ccc(F)c(F)c3)c3ccccc3nc2c1=O,1,1,1,1,0,0,1,0,1,1,1,8,3,72.73,27.27
Cn1c(=O)nc2n(-c3ccc(cc3)S(C)(=O)=O)c3ccccc3nc2c1=O,1,1,1,1,0,0,1,0,1,1,1,8,3,72.73,27.27
C1CCC(C1)[C@H]1OOC[C@H]2O[C@@H]12,0,1,0,0,1,0,0,0,1,0,0,3,8,27.27,72.73
C1CCC(CC1)[C@H]1OOCC=C1,1,1,0,0,1,0,0,0,1,0,0,4,7,36.36,63.64
C1CCC(CC1)[C@H]1OO[C@H](C=C1)C1CCCCC1,1,1,0,0,1,0,0,0,1,0,0,4,7,36.36,63.64
CCC[C@H]1OO[C@@H](CCC)C=C1,1,1,0,0,1,0,0,0,1,0,0,4,7,36.36,63.64
C(C1CCCCC1)[C@H]1OOCC=C1,1,1,0,0,1,0,0,0,1,0,0,4,7,36.36,63.64
COc1cc2[C@H]3C=C[C@](OC)(ON3c3ccccc3)C(=O)c2c(OC(=O)c2ccccc2)c1OC,1,1,1,1,0,1,0,0,1,1,1,8,3,72.73,27.27
OC1CCN(CC1)C(P(O)(O)=O)P(O)(O)=O,1,1,1,0,1,0,0,0,1,1,0,6,5,54.55,45.45
